pc1,pc2,cluster,title
-0.30191183,-0.25445643,0,Data Analytics Engineers
-0.041613013,-0.029014405,0,Data Management Leads
-0.15834169,-0.24662983,0,Analytics and Insights Managers
-0.1955681,-0.23814467,0,Business Intelligence Data Analysts
-0.02934362,-0.19349974,0,Data Modelers
-0.06499992,-0.14899178,0,Actimize Developers
-0.11593181,-0.23052981,0,Data Modelers
-0.057057574,-0.07118857,0,Assistant Vice Presidents
-0.147953,-0.15777448,0,Data Modelers
-0.11357768,-0.15785602,0,Principal Data Scientists
-0.08766951,-0.1509324,0,Data Analysts
0.01958923,-0.10723244,0,SAP MDM Consultants
-0.19109546,-0.044599265,0,Data Governance Analysts
0.008281399,-0.090855815,0,Data Quality Analysts
-0.1466038,-0.24304785,0,Data Modelers
-0.24198408,-0.29154402,0,Analytics Engineers
0.029336736,-0.06342893,0,Axiom Developers
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.2263907,-0.21024124,0,Data Architects
0.06266897,-0.24547291,0,Lead Consultants
-0.107133746,0.009440139,0,Data Management Analysts
-0.14104176,-0.1175029,0,Data Analyst Consultants
-0.22486164,-0.3150895,0,Data Analytics Engineers
-0.11021206,-0.24536966,0,Enterprise Architects
-0.038333997,-0.15013427,0,Data Analytics Analysts
-0.28848368,-0.16608144,0,Domain Managers
-0.2024466,-0.16874103,0,Data Analysts
-0.344819,-0.27773654,0,Data Analytics Engineers
-0.031099193,-0.15455388,0,Data Modelers
-0.23776288,-0.1788909,0,Data Management Analysts
-0.051519312,-0.1553733,0,Data Modelers
-0.12676181,-0.090724155,0,Production Data Analysts
-0.1484908,-0.054928817,0,Data Analysts
-0.13632834,-0.19209643,0,Data Modelers
-0.26674908,-0.17938147,0,Data Integration Analysts
-0.10837287,-0.01198835,0,Information Management Analysts
-0.29558992,-0.2853904,0,Data Analytics Engineers
-0.2473145,-0.23024839,0,Data Analysts
-0.18459296,-0.2667893,0,Analytics and Insights Managers
-0.19672178,-0.08789319,0,Data Analysts
-0.10559185,-0.1408546,0,Enterprise Data Architects
-0.22963865,-0.23392494,0,Data Analysts
-0.09808378,-0.1557462,0,Business Intelligence Data Analysts
0.033218548,-0.056530796,0,Oracle Architects
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.17483665,-0.14327873,0,Directors of Business Intelligence
-0.035811275,0.008365231,0,Data Governance Analysts
-0.1740558,-0.18907493,0,Data Analysts
-0.12158331,-0.08474672,0,Data Modelers
-0.15834169,-0.24662983,0,Analytics and Insights Managers
-0.0713871,-0.13845977,0,Data Governance Analysts
-0.15834169,-0.24662983,0,Analytics and Insights Managers
-0.0194209,-0.18924686,0,Principal Data Scientists
-0.071806446,-0.08712415,0,Data Modelers
-0.20746253,-0.2379947,0,Data Modelers
-0.12432094,-0.13869987,0,Cloud Platform Sales Representatives
-0.050080784,-0.015505426,0,Data Governance Analysts
-0.31953228,-0.15734711,0,Data Quality Analysts
-0.21092011,0.003064748,0,Production Support Analysts
-0.15204628,-0.16824198,0,Data Modelers
-0.093392074,-0.2531474,0,Unclassified
-0.17243078,-0.31064492,0,Engineering Data Analysts
-0.18608005,-0.061197154,0,Data Quality Analysts
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.08066268,-0.19639468,0,Enterprise Consultants
-0.15439434,-0.19761647,0,Principals
-0.06976439,-0.2443264,0,Data Modelers
-0.15177196,-0.054201625,0,Data Management Analysts
-0.08677742,-0.22957191,0,Enterprise Data Architects
-0.17370209,-0.3567037,0,Big Data Cloud Engineers
-0.0035665408,-0.12997545,0,Data Governance Analysts
-0.12784506,-0.13327977,0,Data Governance Analysts
-0.16840628,-0.20870952,0,Data Analyst Managers
-0.25565392,-0.21528456,0,Data Quality Analysts
-0.046875536,-0.26095933,0,Data Modelers
-0.16649106,0.0731484,0,Data Analysts
-0.12830178,-0.09296772,0,Data Management Analysts
-0.35296112,-0.3818542,0,Data Analytics Product Managers
-0.14011121,-0.23675425,0,Data Modelers
-0.11986412,-0.26716948,0,Data Modelers
-0.1256667,-0.19609435,0,Lead Data Modelers
-0.009473182,-0.115606844,0,Data Governance Analysts
-0.10615918,-0.03666325,0,Data Analysts
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.08520158,-0.17104198,0,Liquidity Analysts
-0.12479533,-0.16488479,0,SAP SD Analysts
-0.103294864,-0.04710395,0,Modernization Superintendents
-0.17841105,-0.200554,0,SAS Data Analysts
-0.20355465,-0.11033324,0,Data Analysts
-0.18685679,-0.25709108,0,Data Analytics Engineers
-0.21987866,-0.09904505,0,Data Analysts
-0.15924273,0.027954267,0,Data Analysts
-0.2388954,-0.2609846,0,Data Analysts
